categorie,situation,action,produit_cible,argument_vente,impact_observe,heure_min,heure_max,jour_semaine,store_id,source
objection_prix_samsung,Client compare iPhone avec Samsung A55 5G hésite sur la différence de prix,Valoriser écosystème Apple durabilité revente vs Samsung sur 2 ans,iPhone 16 Pro ou Samsung A55 5G selon profil,Le Samsung A55 à 899 DT est excellent mais l iPhone a une valeur de revente 3 fois supérieure après 2 ans vous récupérez 400 DT à la revente soit un coût réel identique,Conversion vers iPhone plus 28 pourcent quand comparaison revente expliquée,9,20,-1,ALL,terrain_national
objection_engagement,Client refuse engagement 24 mois préfère liberté sans contrat,Présenter avantages engagement et alternative sans engagement avec tarif adapté,Forfait Liberté ou Forfait Flexi selon profil,L engagement 24 mois vous donne 30 pourcent de réduction sur le terminal et le forfait si vous partez avant on rembourse au prorata aucun risque et vous économisez dès le premier mois,Taux acceptation engagement 58 pourcent après explication prorata,9,20,-1,ALL,terrain_national
objection_concurrent,Client mentionne offre concurrente Tunisie Telecom ou Orange moins chère,Comparer couverture réseau qualité service et avantages fidélité Ooredoo,Forfait 5G Max + avantages fidélité,Notre réseau 5G couvre 95 pourcent du Grand Tunis et notre service client est disponible 24h sur 24 en boutique dans 5 minutes avec un vrai conseiller pas un chatbot,Rétention client 73 pourcent après comparaison réseau démontrée en boutique,9,20,-1,ALL,terrain_national
meteo_pluie_accessoires,Météo défavorable pluie ou froid trafic en baisse clients captifs en boutique plus de temps de discussion,Pousser accessoires résistants à l eau et protection matériel en contexte météo,AirPods Pro 3 résistant eau + Apple Watch S10 étanche,Par ce temps votre téléphone a besoin d être protégé et les AirPods Pro 3 sont certifiés résistants à l eau parfaits pour vos déplacements sous la pluie,Ventes accessoires plus 40 pourcent par temps de pluie durée visite client plus 15 minutes,9,20,-1,ALL,terrain_national
meteo_pluie_forfait,Pluie trafic piéton réduit clients qui entrent sont motivés besoin réel,Proposer solution cloud et data pour rester connecté à la maison,Box Fibre 1Go ou Forfait Data Illimitée,Avec cette pluie le télétravail et le streaming sont parfaits pour rester chez soi notre Box Fibre 1Go est installée en 48h,Conversion fibre plus 25 pourcent les jours de mauvaise météo,9,20,-1,ALL,terrain_national
meteo_chaleur_ete,Canicule été trafic en baisse clients évitent de sortir boutique climatisée refuge,Accueillir clients comme refuge climatisé offrir boisson fraîche augmenter durée visite,Premium Smartphone + Accessoires été,Profitez de notre climatisation pour découvrir tranquillement nos nouveautés sans rush on a le temps de vous trouver la solution parfaite,Durée visite plus 20 minutes en été conversion plus 18 pourcent sur visites longues,12,16,-1,ALL,terrain_national
pic_trafic_16h,Pic de trafic 16h à 17h I63 représente 21 pourcent du CA journalier maximiser chaque interaction,Prioriser clients haut potentiel profils professionnels familles besoin urgent,Terminal Premium + Forfait Pro,Bienvenue je vois que vous êtes professionnel notre Pack Pro Business vous donne une ligne dédiée data illimitée et support prioritaire exactement ce qu il vous faut,Plus 35 pourcent CA pendant ce créneau si bien géré,15,18,-1,I63,terrain_i63
pic_trafic_19h,Créneau 19h représente 12 pourcent CA I63 clients qui sortent du travail décision rapide,Script rapide 5 minutes closing immédiat sans hésitation,Samsung A55 5G ou Forfait Flexi,Je sais que vous êtes pressé en 5 minutes je vous montre exactement ce qu il vous faut et vous repartez avec votre nouveau forfait activé,Closing en moins de 6 minutes 65 pourcent taux succès créneau soir,18,20,-1,I63,terrain_i63
renouvellement_contrat,Client en fin de contrat 24 mois vient pour renouvellement fidélisation prioritaire,Offre renouvellement premium avec upgrade terminal et maintien tarif,iPhone 16 Pro ou Samsung S25 + Forfait conservé,Merci pour votre fidélité 24 mois en récompense vous avez droit à notre offre renouvellement exclusive upgrade vers le dernier iPhone avec votre forfait actuel maintenu au même prix,450 DT panier moyen renouvellement taux rétention 89 pourcent,9,20,-1,ALL,terrain_national
primo_accedant_5g,Client n a jamais eu de forfait Ooredoo primo-accédant jeune ou étudiant,Script découverte Ooredoo avantages jeune offre étudiant data généreuse,Forfait Étudiant 5G 19 DT par mois,Bienvenue chez Ooredoo votre premier forfait c est une étape importante notre offre étudiant à 19 DT vous donne 30Go de data et les appels vers vos parents illimités,Acquisition nouveau client LTV 3 ans estimée 680 DT taux satisfaction primo-accédants 91 pourcent,9,20,-1,ALL,terrain_national
professionnel_independant,Travailleur indépendant gérant TPE besoin connectivité fiable et déductible fiscalement,Pack Pro Business : ligne professionnelle fibre box et cloud backup,Pack Pro Business 89 DT par mois,Votre ligne professionnelle est entièrement déductible fiscalement et avec le cloud backup Ooredoo vos données sont sécurisées même si votre téléphone est perdu ou volé,Panier 89 DT récurrent plus installation fibre fidélisation 36 mois,9,18,-1,ALL,terrain_national
famille_multilignes,Famille avec enfants cherche solution mobile pour toute la famille budget maîtrisé,Pack Famille multi-lignes avec partage data et contrôle parental,Pack Famille 3 ou 4 lignes Ooredoo,Avec notre pack famille chaque membre a sa ligne son forfait et vous le parent gardez le contrôle de la consommation depuis une seule app Ooredoo économie de 20 DT par mois vs lignes séparées,60 DT économisé par mois engagement familial 24 mois très faible churn,9,20,-1,ALL,terrain_national
client_enterprise,Représentant PME cherche solution pour équiper ses employés contrat entreprise,Solution Ooredoo Business : forfaits groupés terminaux subventionnés et support dédié,Ooredoo Business Pack 5 à 50 lignes,Pour votre PME Ooredoo Business vous donne des tarifs dégressifs selon le nombre de lignes un compte manager unique pour tout gérer et un interlocuteur dédié joignable 7j sur 7,Contrat entreprise 2000 à 15000 DT par an renvoyer vers équipe B2B pour closing,9,17,1,ALL,terrain_national
senior_decouverte,Client senior 60 ans plus première expérience smartphone demande aide et patience,Script patience et formation accompagnement usage smartphone simple,iPhone SE ou Samsung A15 Simple d utilisation,Je vais vous montrer les 3 choses essentielles appeler prendre des photos envoyer un message à vos enfants en 10 minutes vous serez autonome et notre boutique reste disponible si vous avez besoin d aide,Satisfaction client senior 94 pourcent recommandation bouche-à-oreille très élevée,9,18,-1,ALL,terrain_national
digital_migrant,Client utilise encore un téléphone basique veut passer au smartphone pour la première fois,Migration douce vers smartphone avec formation offerte et forfait adapté,Samsung A15 + Forfait Flexi 15Go,Le passage au smartphone c est la meilleure décision WhatsApp Facebook appels vidéo avec vos petits-enfants et les photos de famille tout dans un seul appareil facile à utiliser,Conversion feature phone vers smartphone 78 pourcent après démonstration WhatsApp,9,18,-1,ALL,terrain_national
stock_rupture_iphone,Stock iPhone 15 épuisé ou critique moins de 5 unités clients qui demandent ce modèle,Rediriger vers iPhone 16 Pro ou proposer commande avec priorité client,iPhone 16 Pro ou commande iPhone 15 prioritaire,L iPhone 15 est épuisé mais l iPhone 16 Pro est disponible maintenant avec une puce encore plus rapide pour 50 DT de plus sur 24 mois c est 2 DT par mois de différence pour le meilleur iPhone du marché,Conversion vers modèle supérieur 55 pourcent satisfaction client 88 pourcent,9,20,-1,ALL,terrain_national
stock_rupture_alternative,Rupture de stock produit demandé client frustré risque de partir chez concurrent,Proposer alternative équivalente avec avantage exclusif ou commander avec engagement client,Alternative premium ou commande avec bonus,Je comprends votre déception voici ce que je vous propose : je vous mets en priorité pour la prochaine livraison prévu dans 3 jours et en attendant voici un accessoire offert pour vous remercier de votre fidélité,Rétention client 82 pourcent sur rupture avec engagement date livraison,9,20,-1,ALL,terrain_national
closing_hesitant,Client intéressé mais n arrive pas à se décider revient plusieurs fois sans acheter,Technique du choix limité créer urgence de stock et offre limitée dans le temps,Produit qui intéresse le client depuis début,Je remarque que vous revenez voir ce modèle je dois vous dire qu il ne reste que 3 pièces en stock et l offre de lancement se termine ce week-end. Qu est-ce qui vous retient encore ?,Conversion client hésitant 61 pourcent avec technique urgence stock,9,20,-1,ALL,terrain_national
closing_couple,Couple qui hésite chacun a un avis différent sur le choix du terminal,Inclure les deux dans la décision trouver le compromis commun,Bundle couple deux terminaux + forfaits familiaux,Vous avez tous les deux raison l iPhone est parfait pour Madame et le Samsung pour Monsieur et avec notre offre couple les deux forfaits vous coûtent 20 DT de moins par mois qu en séparé,Panier couple 800 DT en moyenne décision en 15 minutes taux succès 71 pourcent,9,20,-1,ALL,terrain_national
5g_evangelisation,Client ne comprend pas la 5G ne voit pas la valeur concrète hésite à payer plus,Démonstration live de la 5G en boutique test de vitesse comparatif,Forfait 5G Max 49 DT par mois,Permettez-moi de vous montrer en live : voici la 4G sur ce téléphone et voici la 5G sur celui-là regardez la différence sur YouTube 4K streaming instantané vs buffering. C est ça la 5G au quotidien.,Conversion vers 5G plus 45 pourcent après démonstration live vs explication verbale,9,20,-1,ALL,terrain_national
data_addict,Client grande consommatrice de data streaming YouTube TikTok au max chaque mois,Proposer forfait data illimitée avec argument consommation vs prix,Forfait Unlimited 5G 69 DT par mois,Vous avez dépassé votre forfait 3 fois ce trimestre avec le forfait Unlimited vous ne vous posez plus jamais la question de la data et vous économisez les frais de dépassement,Économie nette 15 DT par mois pour gros consommateurs data satisfaction 93 pourcent,9,20,-1,ALL,terrain_national
retour_experience,Client vient suite à une mauvaise expérience passée avec Ooredoo à reconquérir,Script empathie reconquête avec geste commercial et promesse service,Offre reconquête personnalisée,Je comprends et je m en excuse sincèrement beaucoup de choses ont changé chez Ooredoo depuis votre dernière expérience. Pour vous prouver notre engagement voici une offre exclusive reconquête que nous n offrons qu à nos anciens clients.,Taux reconquête client 38 pourcent avec geste commercial satisfaction post-reconquête 85 pourcent,9,20,-1,ALL,terrain_national
roaming_voyage,Client qui voyage fréquemment cherche solution sans frais roaming exorbitants,Option roaming Ooredoo Day Pass ou forfait international adapté,Option Roaming Day Pass 5 DT par jour,Avec le Day Pass Ooredoo vous payez 5 DT par jour en Europe et vous gardez votre forfait habituel data et appels illimités dans 45 pays sans surprise sur votre facture,Économie 40 pourcent vs roaming standard adoption Day Pass 78 pourcent après explication,9,20,-1,ALL,terrain_national
jeudi_vendredi_rush,Jeudi et vendredi fin de semaine rush clients avant week-end décisions rapides,Préparer les offres du week-end à l avance et accélérer les closings,Produits et forfaits populaires week-end,Ce week-end on a une promo spéciale sur les iPhone et Samsung si vous décidez aujourd hui jeudi vous évitez la foule du samedi et vous profitez de l offre dès maintenant,Conversion jeudi soir plus 22 pourcent vs mardi mercredi,15,20,3,ALL,terrain_national
lundi_faible_trafic,Lundi matin faible trafic conseiller disponible client peu pressé,Offrir une expérience découverte complète sans rush,Gamme complète Ooredoo démonstration approfondie,Le lundi matin c est notre moment pour vraiment prendre le temps avec vous pas de file d attente je peux vous montrer tous nos produits et trouver exactement ce qui correspond à votre vie connectée,Vente plus longue mais panier moyen plus 28 pourcent les lundis matin,9,12,0,ALL,terrain_national
apple_watch_sante,Client sportif ou conscient santé cherche accessoire fitness,Démonstration Apple Watch S10 suivi santé et sport en temps réel,Apple Watch S10 449 DT,Regardez en direct votre fréquence cardiaque votre niveau de stress et vos pas du jour sur l Apple Watch S10 c est votre médecin personnel au poignet. Et elle est étanche jusqu à 50 mètres pour la natation.,Vente Apple Watch plus 55 pourcent après démonstration live vs description verbale,9,20,-1,ALL,terrain_national
sim_prepayee_touriste,Touriste ou visiteur de passage besoin SIM temporaire data généreuse,SIM prépayée Ooredoo Tourist avec data 7 jours,SIM Tourist 15 Go 15 DT,Welcome to Tunisia Ooredoo offers you the best tourist SIM with 15Go of data for 7 days and free calls to your family abroad for just 15 DT activated in 5 minutes,Acquisition client temporaire conversion 90 pourcent sur SIM tourist recommandation bouche-à-oreille internationale,9,20,-1,ALL,terrain_national
recharge_numerique,Client vient pour recharge classique habitude papieur,Proposer migration vers recharge numérique via app Ooredoo avec bonus data,App Ooredoo + Recharge numérique,Saviez-vous que si vous rechargez via l app Ooredoo vous recevez 10 pourcent de data bonus automatiquement ? Je vous l installe maintenant et vous rechargez depuis chez vous en 30 secondes,Adoption app Ooredoo plus 45 pourcent conversion client digital reduce churn,9,20,-1,ALL,terrain_national
corporate_decision_maker,Décideur entreprise en boutique explore solutions pour son équipe de 10 à 50 personnes,Pitch rapide solution Business escalade vers équipe B2B,Ooredoo Business Solutions,Votre temps est précieux voici en 2 minutes ce qu Ooredoo Business peut faire pour vos 30 employés tarifs préférentiels facturation centralisée et un account manager dédié. Je vous mets en relation aujourd hui même.,Lead B2B valeur 5000 à 50000 DT par an escalade systématique vers équipe dédiée,9,17,1,ALL,terrain_national
samsung_gaming,Client gamer cherche smartphone pour gaming mobile et streaming,Samsung S25 Ultra pour gaming écran 120Hz et refroidissement,Samsung S25 Ultra 1599 DT,Pour le gaming mobile le Samsung S25 Ultra avec son écran 120Hz son processeur Snapdragon 8 Elite et sa batterie 5000mAh c est le champion incontesté. Testez Fortnite là dessus et vous ne repartirez pas sans.,Conversion gaming plus 48 pourcent après test jeu en boutique,9,20,-1,ALL,terrain_national
eco_responsible,Client sensible à l environnement questionne l impact écologique des smartphones,Valoriser programme reprise et reconditionnement Ooredoo,Programme reprise + Smartphone reconditionné certifié,Ooredoo s engage pour l environnement : nous reprenons votre ancien téléphone et vous offrons une réduction sur le nouveau et notre gamme reconditionnée certifiée vous donne un produit comme neuf à 40 pourcent moins cher,Taux reprise plus 35 pourcent conversion reconditionnée 28 pourcent satisfaction 89 pourcent,9,20,-1,ALL,terrain_national
black_friday_promo,Période promotionnelle Black Friday ou Eid el téléphone offre à durée limitée,Créer urgence autour de l offre limitée dans le temps stock réduit,Produits en promotion avec remise significative,C est notre meilleure offre de l année et le stock est limité à 50 pièces les 20 premières sont déjà parties depuis ce matin. Voulez-vous que je vous en mette un de côté pendant 30 minutes ?,Conversion événement promo plus 65 pourcent vs jour normal panier plus 120 DT,9,20,-1,ALL,terrain_promo
back_to_school,Rentrée scolaire parents cherchent smartphone pour enfant lycéen ou étudiant,Offre rentrée scolaire avec contrôle parental et forfait étudiant,iPhone SE ou Samsung A25 + Forfait Étudiant,Pour votre enfant l iPhone SE est le choix idéal à la rentrée avec le contrôle parental via l app Family Sharing vous voyez son utilisation et bloquez les apps pendant les cours,Panier 600 DT parent satisfait taux recommandation 87 pourcent,9,20,-1,ALL,terrain_saisonnier
ramadan_special,Période Ramadan famille réunie partage achat groupé fin de journée pic après Iftar,Script Ramadan communautaire famille réunie,Pack Famille ou Multi-terminaux,Ce Ramadan Ooredoo vous offre le pack famille avec les appels vers la famille illimités en Tunisie et à l étranger pour rester connecté avec ceux qui vous manquent,Ventes pack famille plus 55 pourcent pendant Ramadan pic iftar 21h à 23h,20,23,-1,ALL,terrain_saisonnier
etudiant_universite,Étudiant universitaire budget limité cherche meilleur rapport qualité prix,Forfait étudiant avec data élevée et terminal abordable,Forfait Étudiant 5G 19 DT + Samsung A15,À 19 DT par mois vous avez 30Go de 5G pour vos cours en ligne YouTube et Netflix plus les appels illimités vers vos parents. Et avec le Samsung A15 à 299 DT payable en 3 fois sans frais vous démarrez bien équipé.,Acquisition étudiant LTV 3 ans 680 DT recommandation campus haute,9,18,-1,ALL,terrain_national
femme_active,Femme active professionnelle cherche smartphone élégant et productif,iPhone 16 Pro mode et performance avec accessoires premium,iPhone 16 Pro Titane + Apple Watch S10 + AirPods Pro 3,L iPhone 16 Pro Titane est l alliance parfaite du style et de la performance et avec l Apple Watch vous ne ratez aucun appel professionnel même en réunion. Le bundle complet c est votre assistant personnel toute la journée.,Panier bundle femme active 2000 DT taux satisfaction 95 pourcent recommandation élevée,9,20,-1,ALL,terrain_national
conducteur_voiture,Client passe beaucoup de temps en voiture cherche solution mains libres et navigation,CarPlay Android Auto et forfait data généreux pour navigation,iPhone compatible CarPlay + Forfait 5G,Avec l iPhone 16 Pro et CarPlay vous avez Waze et vos appels directement sur l écran de votre voiture sans toucher votre téléphone c est la sécurité et le confort en même temps,Vente iPhone à automobilistes plus 30 pourcent après démonstration CarPlay,9,20,-1,ALL,terrain_national
parent_enfant,Parent qui cherche premier téléphone pour enfant 10 à 14 ans sécurité primordiale,Solution sécurisée avec contrôle parental et données limitées pour enfants,Samsung A15 + Forfait Famille enfant contrôlé,Pour votre enfant le Samsung A15 avec l app Family Share Ooredoo vous permet de voir où il est bloquer les appels indésirables et limiter le temps d écran depuis votre téléphone,Conversion parent enfant 68 pourcent panier 350 DT récurrent 24 mois,9,18,-1,ALL,terrain_national
international_diaspora,Client tunisien de la diaspora en vacances cherche SIM et connexion famille en Tunisie,Offre spéciale diaspora avec appels internationaux illimités,Forfait Diaspora 39 DT mois + SIM internationale,Bienvenue en Tunisie notre forfait Diaspora vous donne les appels illimités entre la Tunisie et l Europe et 20Go pour rester connecté pendant tout votre séjour et vous pouvez continuer à l utiliser quand vous rentrez,Panier diaspora 39 DT récurrent taux satisfaction 92 pourcent ambassadeur Ooredoo à l étranger,9,20,-1,ALL,terrain_diaspora
apple_ecosystem,Client possède déjà Mac iPad Apple Watch cherche iPhone compatible,Valoriser écosystème Apple complet et intégration Ooredoo iCloud,iPhone 16 Pro + Option iCloud Ooredoo,Avec votre Mac et votre iPad l iPhone 16 Pro ferme le cercle parfait vos photos synchronisées instantanément vos appels sur tous vos appareils et avec Ooredoo iCloud vos 200Go de stockage inclus dans le forfait,Conversion client Apple existant 81 pourcent panier élevé 1500 DT,9,20,-1,ALL,terrain_national
android_loyal,Client Android convaincu ne veut pas entendre parler d Apple,Respecter le choix et pousser le meilleur Android Samsung S25 ou Pixel,Samsung S25 Ultra ou Google Pixel 9 Pro,Je respecte votre choix Android et pour vous le Samsung S25 Ultra est sans discussion le meilleur Android du marché processeur Snapdragon 8 Elite caméra 200Mp et One UI 7 qui s améliore avec le temps,Conversion vers premium Android plus 42 pourcent vs rester sur entrée de gamme,9,20,-1,ALL,terrain_national
techno_sceptique,Client non technophile résiste à la technologie utilise téléphone basique par choix,Ne pas forcer accepter la résistance et semer une graine pour le futur,Téléphone simple Nokia ou Samsung basique,Je comprends parfaitement tous nos clients n ont pas besoin du dernier iPhone. Pour vous le Nokia 3310 4G est parfait appels SMS batterie 30 jours et robuste. Mais si un jour vous voulez essayer le smartphone je suis là.,Confiance client à long terme 25 pourcent reviennent pour smartphone dans les 12 mois,9,20,-1,ALL,terrain_national
reconditionnement_budget,Client avec budget très limité moins de 300 DT cherche smartphone correct,Offre reconditionnée certifiée Ooredoo avec garantie 12 mois,iPhone 12 Reconditionné ou Samsung A54 Reconditionné,Notre gamme reconditionnée certifiée c est comme neuf avec une garantie 12 mois et 40 pourcent de moins qu un neuf l iPhone 12 reconditionné à 249 DT vous donne toutes les fonctionnalités essentielles,Satisfaction reconditionné 88 pourcent acquisition segment budget 29 pourcent des ventes,9,20,-1,ALL,terrain_national
cross_sell_tablette,Client qui achète un forfait data élevé suggérer tablette pour profiter de sa data,Bundle smartphone tablette avec partage data optimisé,iPad ou Samsung Tab avec partage data forfait existant,Avec votre forfait 100Go il vous reste souvent de la data non utilisée. Une tablette en partage de data vous coûte seulement 10 DT de plus par mois et vous avez un grand écran pour le travail les films et vos enfants.,Cross-sell tablette plus 23 pourcent sur clients gros data panier plus 400 DT,9,20,-1,ALL,terrain_national
apres_vente_sav,Client qui revient avec problème produit expérience négative à transformer en positive,Script empathie et résolution rapide avec proposition commerciale de compensation,Réparation ou échange selon garantie,Je vois ce que vous avez vécu et c est inacceptable voici ce que je fais pour vous maintenant : prise en charge immédiate et en attendant la réparation voici un téléphone de prêt gratuit. Et pour vous remercier de votre patience voici une compensation.,Transformation expérience négative en ambassadeur 62 pourcent satisfaction post-SAV si bien géré,9,18,-1,ALL,terrain_national
heure_fermeture,30 dernières minutes avant fermeture boutique clients qui arrivent tard,Closing ultra-rapide préparer les documents à l avance,Produit le plus simple à vendre selon demande,Je vais aller vite pour vous on ferme dans 20 minutes mais je peux vous faire la vente complète maintenant si vous savez exactement ce que vous voulez. Lequel vous intéresse ?,Conversion dernière heure 44 pourcent si conseiller proactif,19,20,-1,ALL,terrain_i63
upsell_chargeur_rapide,Client qui achète iPhone sans remarquer absence chargeur dans la boîte,Proposer chargeur 35W MagSafe et câble USB-C premium comme nécessité,Chargeur Apple 35W MagSafe + Câble USB-C,À savoir l iPhone 16 Pro ne vient plus avec chargeur dans la boîte pour des raisons environnementales. Voici le chargeur officiel 35W qui charge votre iPhone à 50 pourcent en 30 minutes. C est indispensable.,Taux acceptation 89 pourcent chargeur proposé comme nécessité vs option,9,20,-1,ALL,terrain_national
bundle_gaming_complet,Client gamer veut setup gaming mobile complet budget 2000 DT,Bundle gaming complet téléphone manette casque forfait illimité,Samsung S25 Ultra + Manette + AirPods + Forfait Unlimited,Pour votre setup gaming parfait : Samsung S25 Ultra le meilleur pour gaming la manette Bluetooth pour contrôle précis les AirPods pour l immersion sonore et le forfait Unlimited pour jouer en ligne sans limites. Tout pour 1950 DT,Panier gaming 1950 DT taux satisfaction 96 pourcent recommandation gaming community haute,9,20,-1,ALL,terrain_national
service_cloud_backup,Client perd régulièrement ses photos et contacts pas de backup,Proposer service cloud Ooredoo avec démonstration de la peur de la perte de données,Cloud Backup Ooredoo 5 DT par mois,Imaginez perdre toutes vos photos de famille d un coup un vol une chute c est arrivé à des clients ici. Avec le Cloud Backup Ooredoo à 5 DT par mois tout est sauvegardé automatiquement chaque nuit accessible depuis n importe quel appareil.,Adoption Cloud Backup plus 52 pourcent après histoire de perte de données réelle satisfaction 94 pourcent,9,20,-1,ALL,terrain_national
visite_decouverte,Client qui entre juste pour regarder pas d intention d achat déclarée,Script accueil sans pression découverte naturelle des besoins,Selon besoins découverts pendant la conversation,Bonjour prenez le temps de regarder tranquillement si vous avez des questions je suis là. D ailleurs qu est-ce que vous utilisez comme téléphone en ce moment ? Comment vous en êtes satisfait ?,Conversion visiteur passif 31 pourcent si approche non agressive durée visite plus 12 minutes,9,20,-1,ALL,terrain_national
telephonie_pro_artisan,Artisan plombier électricien besoin téléphone robuste et forfait pro,Téléphone robuste Samsung XCover + forfait pro données illimitées,Samsung XCover 7 Pro + Forfait Pro 49 DT,Pour votre métier vous avez besoin d un téléphone qui résiste à tout : eau poussière chutes. Le Samsung XCover 7 Pro est certifié IP68 il supporte tout ça et avec notre forfait Pro les devis par email sont inclus dans le forfait,Conversion artisan 71 pourcent panier 750 DT fidélisation pro 36 mois,9,17,-1,ALL,terrain_national
smart_home_iot,Client intéressé domotique maison connectée cherche connectivité fiable,Solution connectivité IoT Box Fibre + appareils connectés,Box Fibre 1Go + SIM IoT,Avec notre Box Fibre 1Go vous pouvez connecter jusqu à 50 appareils smart home simultanément et avec notre SIM IoT pour votre alarme et vos caméras extérieures tout est connecté 24h sur 24 même en coupure fibre,Panier smart home 150 DT mensuel récurrent fidélisation très haute,9,20,-1,ALL,terrain_national
objection_pas_besoin,Client dit clairement qu il n a pas besoin d un nouveau téléphone et que le sien marche,Trouver les frustrations cachées créer le besoin à partir de la réalité quotidienne,Selon frustrations identifiées pendant échange,Votre téléphone marche parfaitement c est vrai mais dites-moi une chose : la batterie vous tient combien de temps en une journée normale ? Et les photos le soir sont comment ?,Création de besoin 28 pourcent sur clients qui déclarent pas avoir besoin si frustrations identifiées,9,20,-1,ALL,terrain_national
post_achat_fidelisation,Client qui vient de finir son achat sortir de la boutique,Script post-achat programme fidélité et parrainage Ooredoo pour maximiser LTV,Programme Fidélité + Parrainage,Avant de partir voici votre carte fidélité Ooredoo chaque achat vous donne des points cumulables. Et sachez que si vous nous recommandez à un ami vous recevez tous les deux 20 DT de crédit sur votre prochaine facture.,LTV augmentée 18 pourcent taux parrainage 23 pourcent sur clients informés programme fidélité,9,20,-1,ALL,terrain_national
