event_name,event_type,sous_type,start_date,end_date,scope,uplift_terminal,uplift_forfait,uplift_sim,uplift_recharge,uplift_accessoire,intensite,note_strategie
CAN 2026 (qualification),SPORTIF,QUALIFICATION_CAN,2026-03-25,2026-03-25,NATIONAL,5,20,8,20,5,MEDIUM,"Match de qualification Tunisie — pic streaming."
Lancement 5G Ooredoo,CONCURRENTIEL,LANCEMENT_5G,2025-07-01,2025-07-31,NATIONAL,35,55,20,10,15,HIGH,"Lancement commercial 5G Ooredoo TN. Forte demande forfaits 5G et routeurs 5G."
Promo Orange Summer 2025,CONCURRENTIEL,PROMO_CONCURRENT,2025-07-15,2025-08-15,NATIONAL,-8,-12,-5,0,-5,MEDIUM,"Orange propose smartphones à -20%. Surveiller pertes de parts de marché."
Promo TT Back to School 2025,CONCURRENTIEL,PROMO_CONCURRENT,2025-08-25,2025-09-15,NATIONAL,-5,-8,-3,0,-3,LOW,"Tunisie Telecom: offre rentrée -15% sur forfaits étudiants."
Eid Al-Adha 2026,RELIGIEUX,EID_ADHA,2026-05-27,2026-05-29,NATIONAL,52,30,27,88,38,HIGH,"Eid Al-Adha 2026 prévu fin mai."
Festival de Carthage 2025,SPORTIF,FESTIVAL,2025-07-01,2025-08-31,REGIONAL,8,15,5,12,8,LOW,"Festival estival Tunis — zone Grand Tunis uniquement. Pics week-end."
Soldes Été 2025,COMMERCIAL,SOLDES_ETE,2025-07-01,2025-07-31,NATIONAL,30,15,10,10,20,MEDIUM,"Soldes d'été : terminaux mid-range en promotion."
Soldes Été 2026,COMMERCIAL,SOLDES_ETE,2026-07-01,2026-07-31,NATIONAL,32,16,11,11,22,MEDIUM,"Soldes 2026 avec 5G déployée = meilleure progression forfaits."
Déploiement Réseau 5G Nord 2025,RESEAU,UPGRADE_5G,2025-06-01,2025-06-30,REGIONAL,25,45,15,5,10,HIGH,"Upgrade réseau Grand Tunis et Cap Bon vers 5G SA. Opportunité upsell forfaits 5G."
Déploiement Réseau 5G Centre 2025,RESEAU,UPGRADE_5G,2025-09-01,2025-10-31,REGIONAL,20,40,12,5,8,MEDIUM,"5G Centre et Sahel."
