categorie,situation,action,produit_cible,argument_vente,impact_observe,heure_min,heure_max,jour_semaine,store_id,source
script_etudiant_budget,Étudiant universitaire avec budget limité moins de 400 DT,Proposer combinaison Samsung A15 ou reconditionné plus Forfait Étudiant,Samsung Galaxy A55 5G,Pour votre budget j ai la solution parfaite le Samsung A55 5G à 899 DT en 3 fois sans frais c est 300 DT par mois. Et avec le Forfait Flexi 29 DT tout est inclus,Acquisition étudiant LTV 3 ans 680 DT taux satisfaction 91 pourcent,9,18,-1,ALL,terrain_national
script_renouvellement_contrat,Client dont le contrat expire dans moins de 30 jours vient en boutique,Script renouvellement avec upgrade gratuit et maintien du forfait,iPhone 16 Pro ou Samsung S25,En récompense de votre fidélité 24 mois vous avez droit à notre offre renouvellement exclusive upgrade vers le dernier iPhone avec votre forfait actuel conservé au même prix,Taux rétention 89 pourcent sur renouvellements bien gérés panier 450 DT moyen,9,20,-1,ALL,terrain_national
script_concurrent_retention,Client mentionne une offre de Tunisie Telecom ou Orange moins chère,Comparaison réseau et qualité service sans dénigrer le concurrent,Forfait 5G Max,Notre réseau 5G couvre 95 pourcent du Grand Tunis. Et en boutique vous avez un vrai conseiller disponible maintenant pas un chatbot. Testez les deux débits maintenant,Rétention client 73 pourcent après comparaison réseau démontrée live en boutique,9,20,-1,ALL,terrain_national
script_engagement_refus,Client refuse l engagement 24 mois veut rester libre sans contrat,Expliquer le prorata de résiliation et les économies de l engagement,Forfait 5G Max avec engagement,L engagement 24 mois vous donne 30 pourcent de réduction. Et si vous partez avant on rembourse au prorata exact. Aucun risque et vous économisez dès le premier mois,Taux acceptation engagement 58 pourcent après explication claire du prorata de résiliation,9,20,-1,ALL,terrain_national
script_digital_migrant,Client utilise encore un téléphone basique veut passer au smartphone,Migration douce avec démonstration WhatsApp et photos famille,Samsung Galaxy A55 5G,Le passage au smartphone ça change vraiment la vie. WhatsApp pour parler avec vos enfants les photos de famille les cartes GPS. Je vous montre en 5 minutes,Conversion feature phone vers smartphone 78 pourcent après démonstration WhatsApp famille,9,18,-1,ALL,terrain_national
script_touriste_sim,Touriste étranger qui entre et demande comment avoir internet en Tunisie,Script anglais ou français selon nationalité SIM Tourist rapide,SIM Tourist 15Go,Welcome our Tourist SIM gives you 15Go of data for 7 days and free calls abroad for 15 DT only. Activated in 5 minutes right here,Conversion touriste 90 pourcent sur SIM tourist proposition immédiate en boutique,9,20,-1,ALL,terrain_national
objection_samsung_vs_iphone,Client compare explicitement iPhone à Samsung dit que Samsung est mieux,Respecter le choix et upgrader vers Samsung S25 Ultra premium,Samsung Galaxy S25 Ultra,Je respecte votre choix. Pour vous le meilleur Android est le Samsung S25 Ultra. Processeur Snapdragon 8 Elite caméra 200 megapixels et One UI 7. On peut le tester maintenant,Conversion vers premium Android 42 pourcent vs rester sur entrée de gamme,9,20,-1,ALL,terrain_national
objection_iphone_trop_grand,Client trouve l iPhone 16 Pro trop grand pour sa main,Proposer iPhone 16 ou iPhone SE selon budget et main plus petite,iPhone 16,L iPhone 16 est plus compact 6.1 pouces au lieu de 6.7. Mêmes performances juste la taille qui change. Tenez essayez en main,Taux satisfaction 94 pourcent quand bonne taille proposée proactivement après test en main,9,20,-1,ALL,terrain_national
objection_fibre_installateur,Client intéressé fibre mais dit que l installation va prendre du temps,Rassurer sur le délai d installation et proposer solution 4G en attendant,Box Fibre 1Go,L installation prend 48h maximum et on la planifie au moment qui vous convient. Et en attendant je vous propose la Box 4G+ à 39 DT pour être connecté dès aujourd hui,Taux conversion fibre 65 pourcent quand objection installation traitée avec solution 4G pont,9,18,-1,ALL,terrain_national
objection_cloud_confiance,Client hésite sur le Cloud Backup dit qu il ne veut pas ses données sur internet,Rassurer sur la sécurité et le chiffrement des données Ooredoo,Cloud Backup 1To,Vos données sont chiffrées de bout en bout chez Ooredoo. Même nous n y avons pas accès. C est le même niveau de sécurité que votre banque en ligne,Adoption Cloud 41 pourcent après explication chiffrement données sur clients inquiets sécurité,9,20,-1,ALL,terrain_national
objection_assurance_inutile,Client refuse l assurance dit qu il fait attention à son téléphone,Utiliser statistique de casse et scénario concret de vol,Assurance Premium,Saviez-vous que 1 smartphone sur 3 est cassé ou volé dans sa première année. Un écran remplacé coûte 280 DT. L assurance c est 9 DT par mois soit 108 DT par an. Le calcul est vite fait,Taux acceptation assurance 67 pourcent quand statistique casse présentée avec calcul concret,9,20,-1,ALL,terrain_national
objection_pas_besoin_nouveau,Client dit que son téléphone actuel marche encore bien,Identifier les frustrations cachées avec questions ouvertes sur l usage,Selon frustrations identifiées,Votre téléphone marche bien. Mais dites-moi la batterie vous tient combien de temps en une journée normale. Et les photos le soir elles sont comment,Création besoin 28 pourcent sur clients déclarant ne pas avoir besoin si frustrations identifiées,9,20,-1,ALL,terrain_national
objection_concurrent_prix,Client dit que l opérateur concurrent propose le même forfait moins cher,Comparer le total cost of ownership réseau plus service plus fiabilité,Forfait 5G Max,Le prix seul ne dit pas tout. Notre réseau 5G est le plus rapide en Tunisie et notre service boutique est disponible maintenant sans rendez-vous. Testez notre débit vs leur offre,Rétention 68 pourcent après démonstration valeur totale vs prix seul concurrent,9,20,-1,ALL,terrain_national
objection_contrat_peur,Client a eu une mauvaise expérience avec un contrat mobile par le passé,Script empathie et transparence totale sur les conditions,Forfait 5G Max ou Flexi selon profil,Je comprends votre méfiance. Laissez-moi vous montrer exactement les conditions. Pas de frais cachés. Le seul engagement c est le tarif préférentiel. Tout le reste est transparent,Reconquête client méfiant 38 pourcent avec approche transparence totale et lecture contrat ensemble,9,20,-1,ALL,terrain_national
closing_alternative,Client hésite entre deux couleurs ou deux modèles depuis 10 minutes,Technique de la question alternative pour forcer une décision positive,Produit que le client a choisi,Vous préférez le noir titane ou le blanc naturel. Les deux sont disponibles maintenant en boutique,Taux closing 61 pourcent avec question alternative vs attente de la décision spontanée du client,9,20,-1,ALL,terrain_national
closing_urgence_stock,Client hésite sur un produit qui est en stock limité moins de 5 unités,Créer urgence de stock réelle et proposer réservation immédiate,iPhone 16 Pro ou produit en stock limité,Je dois vous dire qu il ne reste que 3 unités en stock et je ne peux pas garantir la disponibilité demain. Voulez-vous que je vous en mette un de côté pendant 30 minutes,Conversion client hésitant 61 pourcent avec technique urgence stock réelle,9,20,-1,ALL,terrain_national
closing_papiers_deja_prets,Client a décidé mais ne signe pas attend quelque chose,Préparer les documents avant que le client décide pour accélérer la signature,Tout produit en phase de closing,Pendant que vous réfléchissez je prépare les documents. Comme ça si vous décidez c est prêt en 2 minutes. Ça vous convient,Réduction temps de décision de 8 minutes à 3 minutes quand documents préparés en avance,9,20,-1,ALL,terrain_national
closing_couple_double,Couple dont l un veut acheter et l autre hésite ou freine,Inclure les deux dans la décision avec argument économie couple,iPhone 16 Pro plus Samsung selon préférences,Puisque vous prenez tous les deux des terminaux aujourd hui j ai une offre couple qui réduit les forfaits de 20 DT par mois chacun. C est 40 DT d économie par mois ensemble,Taux succès closing couple 71 pourcent avec offre économie commune vs décision individuelle,9,20,-1,ALL,terrain_national
closing_rappel_avantage,Client repart sans acheter après une longue discussion,Rappel des avantages clés en une phrase avant la sortie pour déclencher le retour,Produit discuté pendant la visite,Avant que vous partiez rappelez-vous que l avance postpayé sur l iPhone 16 Pro c est 0 DT aujourd hui et 54 DT par mois. L offre est valable jusqu à ce soir,Taux retour client 23 pourcent sur clients partis sans acheter après rappel avantage unique,9,20,-1,ALL,terrain_national
closing_premier_achat,Primo-accédant qui hésite car première fois qu il prend un forfait Ooredoo,Rassurer avec période de test et accompagnement post-vente,Forfait Flexi 25Go,Puisque c est votre premier forfait Ooredoo je vous accompagne moi-même dans la prise en main et vous pouvez m appeler directement si vous avez une question les 30 premiers jours,Taux conversion primo-accédant 85 pourcent avec promesse accompagnement personnel post-vente,9,20,-1,ALL,terrain_national
upsell_coque_obligatoire,Client achète un smartphone premium sans demander de protection,Proposer coque et protection écran comme nécessité pas comme option,Coque et protection écran,Avant de partir j ai besoin de protéger votre investissement. Une chute sans coque sur un iPhone 16 Pro c est 280 DT de réparation. La coque c est 39 DT maintenant,Taux acceptation coque 89 pourcent quand présentée comme nécessité de protection vs accessoire optionnel,9,20,-1,ALL,terrain_national
upsell_chargeur_rapide,Client achète iPhone sans remarquer qu il n y a pas de chargeur dans la boîte,Proposer chargeur 35W comme nécessité fournie séparément par Apple,Chargeur Apple 35W USB-C,À savoir votre iPhone ne vient plus avec chargeur dans la boîte depuis 2021. Le chargeur officiel Apple 35W charge votre iPhone à 50 pourcent en 30 minutes. Il est indispensable,Taux acceptation chargeur 92 pourcent quand présenté comme nécessité manquante dans la boîte,9,20,-1,ALL,terrain_national
upsell_tv_streaming,Client prend Box Fibre pour sa famille avec enfants,Proposer TV Streaming Ooredoo comme complément naturel pour la famille,TV Streaming Ooredoo,Puisque vous prenez la fibre pour votre famille le TV Streaming Ooredoo à 12 DT par mois vous donne 100 chaînes dont les chaînes pour enfants directement sur votre TV via l app,Taux acceptation TV Streaming 38 pourcent sur acheteurs fibre avec enfants en famille,10,20,-1,ALL,terrain_national
upsell_cloud_backup_auto,Client achète un nouveau téléphone et va transférer ses données,Proposer Cloud Backup pour sécuriser le transfert et les données futures,Cloud Backup 1To,Pendant que vous transférez vos données c est le bon moment d activer le Cloud Backup à 15 DT par mois. Vos photos de famille seront sauvegardées automatiquement chaque nuit,Adoption Cloud 44 pourcent pendant le processus de transfert de données en boutique,9,20,-1,ALL,terrain_national
upsell_pack_accessoire_complet,Client vient d acheter un terminal Apple premium iPhone ou Watch,Proposer pack complet AirPods plus Watch plus Cloud Backup écosystème Apple,AirPods Pro 3 plus Apple Watch S10,Votre iPhone 16 Pro est parfait avec l Apple Watch S10 pour les appels et la santé et les AirPods Pro 3 pour la musique. Les 3 ensemble c est l écosystème Apple complet,Panier Apple complet 2027 DT taux satisfaction 96 pourcent recommandation très élevée,9,20,-1,ALL,terrain_national
upsell_assurance_post_signature,Client vient de signer son contrat terminal et s apprête à partir,Proposer l assurance une dernière fois avant que le client quitte la boutique,Assurance Premium,Dernière chose avant que vous partiez l Assurance Premium à 9 DT par mois. Si votre téléphone est volé ou cassé on vous le remplace en 48h. On l ajoute,Taux acceptation assurance post-signature 44 pourcent vs 67 pourcent pendant le closing,9,20,-1,ALL,terrain_national
meteo_pluie_forte_accessoires,Météo pluie forte code 63 ou 65 trafic très réduit clients captifs longue durée,Pousser fortement accessoires résistants eau et services en ligne,AirPods Pro 3 et Apple Watch S10,Par ce temps vos AirPods Pro 3 sont certifiés résistants eau IPX4 parfaits pour vos déplacements. Et l Apple Watch S10 est étanche jusqu à 50 mètres. Deux investissements qui résistent aux éléments,Ventes accessoires plus 40 pourcent par temps de pluie durée visite client plus 15 minutes,9,20,-1,ALL,terrain_national
meteo_pluie_fibre_maison,Météo pluie les gens restent chez eux pensent à améliorer leur connexion internet,Proposer Box Fibre comme amélioration du confort de vie à domicile par temps de pluie,Box Fibre 1Go,Par ce temps tout le monde est chez soi. C est le bon moment pour penser à améliorer votre connexion internet à la maison. La Box Fibre 1Go à 59 DT par mois installation gratuite en 48h,Conversion fibre plus 25 pourcent les jours de mauvaise météo clients plus réceptifs confort maison,9,20,-1,ALL,terrain_national
meteo_pluie_recharge_digitale,Client vient pour recharge classique par temps de pluie,Profiter du temps disponible pour migrer vers recharge numérique via l app,App Ooredoo recharge numérique,Puisque vous êtes là par ce temps je vous installe l app Ooredoo maintenant. Recharge en 30 secondes depuis chez vous sans sortir sous la pluie. Et 10 pourcent de data bonus à chaque recharge,Adoption app Ooredoo plus 45 pourcent pendant les jours de pluie durée visite plus longue,9,20,-1,ALL,terrain_national
meteo_chaud_ete_clim,Canicule été boutique climatisée refuge pour les clients,Accueillir les clients comme un refuge et profiter de la durée de visite augmentée,Gamme complète selon besoin,Bienvenue installez-vous au frais. Prenez le temps de découvrir tranquillement nos nouveautés. Pas de rush. Qu est-ce qui vous intéresse,Durée visite plus 20 minutes en été taux conversion plus 18 pourcent sur visites longues,12,16,-1,ALL,terrain_national
meteo_nuageux_forfait,Ciel nuageux météo code 2 ou 3 trafic normal légèrement positif,Journée normale focus sur forfaits data et conversion recharge,Forfait 5G Max,Journée idéale pour découvrir nos forfaits. Avec le Forfait 5G Max à 49 DT par mois vous avez 100Go de 5G et les appels illimités. C est deux fois plus de data qu avant pour le même prix,Impact neutre météo focus conversion recharge vers forfait objectif 60 pourcent clients recharge,9,20,-1,ALL,terrain_national
meteo_orage_securite,Temps d orage trafic très faible boutique presque vide,Utiliser le temps calme pour les appels sortants renouvellements et formations,Renouvellement contrat ou formation interne,Boutique calme à cause de l orage. C est le moment parfait pour appeler les clients dont le contrat expire dans 30 jours. J ai une liste de 15 clients à recontacter aujourd hui,Appels sortants renouvellements taux succès 45 pourcent conversion panier 450 DT,9,20,-1,ALL,terrain_national
heure_9h_ouverture,9h ouverture boutique premiers clients souvent motivés besoin précis,Accueillir chaleureusement et qualifier rapidement le besoin précis,Produit selon besoin client,Bonjour bienvenue. C est bien vous qui avez appelé hier ou c est votre première visite Qu est-ce qui vous amène ce matin,Taux conversion 9h 72 pourcent clients matinaux très motivés besoin précis et décidés,9,11,-1,ALL,terrain_i63
heure_12h_pause_dejeuner,12h-13h clients en pause déjeuner peu de temps disponibles très pressés,Script ultra-rapide qualification et proposition en moins de 5 minutes,Produit simple ou rendez-vous réservé,Bonjour je vois que vous êtes pressé. En 2 minutes dites-moi ce que vous cherchez et je vous prépare tout. Ou je vous réserve un créneau de 15 minutes cet après-midi,Taux rétention client pressé 58 pourcent avec proposition rendez-vous vs perte immédiate,12,14,-1,ALL,terrain_national
heure_16h_pic_conversion,16h-17h pic de trafic 21 pourcent du CA journalier maximiser chaque interaction,Pré-qualifier les clients en attente pour optimiser le temps de vente,Gamme complète selon besoin pré-qualifié,Pendant que vous attendez permettez-moi de comprendre votre besoin pour aller droit au but. Qu est-ce qui vous intéresse aujourd hui,Réduction temps vente de 8 à 5 minutes satisfaction plus 23 pourcent conversion plus 12 pourcent,15,18,-1,ALL,terrain_i63
heure_17h_professionnel,17h professionnels sortant du travail profil décision rapide besoin précis,Cibler les profils professionnels avec Pack Pro Business ou terminal premium,Pack Pro Business ou iPhone 16 Pro,En tant que professionnel vous avez besoin d un terminal fiable et d un forfait qui tient toute la journée. Notre Pack Pro Business à 89 DT par mois inclut ligne pro et cloud backup,Conversion professionnel 67 pourcent entre 17h et 19h panier moyen 450 DT,16,20,-1,ALL,terrain_national
heure_19h_closing_express,19h créneau soir clients pressés travaillent toute la journée veulent aller vite,Script closing express 5 minutes terminal plus forfait en une seule étape,Samsung A55 5G ou iPhone 16 Pro selon budget,Je sais que vous êtes pressé. En 5 minutes voici ce que j ai pour vous. Quel est votre budget pour le terminal,Closing en moins de 6 minutes 65 pourcent taux succès créneau soir clients pressés,18,20,-1,ALL,terrain_i63
heure_19h_last_chance,19h30 boutique ferme dans 30 minutes clients qui arrivent tard,Script very express closing immédiat documents prêts à l avance,Produit le plus simple à vendre selon demande,Vous avez du chance je ferme dans 30 minutes mais si vous savez exactement ce que vous voulez je peux vous faire la vente complète maintenant. Qu est-ce qui vous intéresse,Conversion dernière heure 44 pourcent si conseiller proactif et documents prêts en avance,19,20,-1,ALL,terrain_national
profil_jeune_tiktok,Jeune 18-25 ans très présent sur TikTok Instagram Snapchat cherche smartphone avec bonne caméra,Démonstration mode vidéo caméra selfie et qualité TikTok du téléphone,iPhone 16 Pro ou Samsung A55 5G,L iPhone 16 Pro a un mode Cinematic Video parfait pour TikTok et Instagram. Regardez la qualité de ce selfie en direct. Les influenceurs tunisiens l utilisent,Conversion jeune profil social media 61 pourcent après démonstration caméra selfie et vidéo live,9,20,-1,ALL,terrain_national
profil_mama_enfants,Mère de famille cherche téléphone fiable pour gérer sa famille et rester connectée,Script simplicité fiabilité contrôle parental et appels famille,Samsung Galaxy A55 5G ou iPhone SE,Pour rester connectée avec vos enfants et gérer la famille le Samsung A55 5G est parfait. Fiable grande batterie. Et avec le forfait Famille 5G toute la famille est incluse,Satisfaction mère famille 88 pourcent taux recommandation très élevé bouche à oreille,9,18,-1,ALL,terrain_national
profil_retraite,Retraité 60 ans plus veut rester en contact avec sa famille utilise WhatsApp,Script patience démonstration WhatsApp photos famille taille police adaptée,iPhone SE ou Samsung simplifié,Voici comment appeler votre fils sur WhatsApp en vidéo. Regardez la qualité. Et on peut agrandir les caractères pour que ce soit plus lisible. C est facile une fois qu on a pris l habitude,Conversion retraité 58 pourcent après démonstration WhatsApp famille durée vente 20 minutes,9,17,-1,ALL,terrain_national
profil_entrepreneur,Entrepreneur PME qui gère une équipe de 5 à 20 personnes vient pour son propre téléphone,Élargir vers solution équipe et orienter vers équipe B2B Ooredoo,Pack Pro Business ou solution entreprise,Pour vous c est parfait mais pensez aussi à votre équipe. Ooredoo Business propose des tarifs dégressifs par nombre de lignes. Je peux vous mettre en contact avec notre équipe entreprise,Lead B2B valeur 2000 à 15000 DT par an escalade systématique vers équipe B2B dédiée,9,17,1,ALL,terrain_national
profil_conducteur,Client passe beaucoup de temps en voiture mentionne les appels pendant la conduite,Proposer iPhone avec CarPlay ou solution mains libres pour la sécurité,iPhone 16 Pro,Avec l iPhone 16 Pro et CarPlay votre téléphone s affiche directement sur l écran de votre voiture. Navigation Waze appels messages vocaux. Tout sans toucher votre téléphone. C est la sécurité,Conversion conducteur vers iPhone 30 pourcent après démonstration CarPlay en boutique,9,20,-1,ALL,terrain_national
profil_photographe_amateur,Client mentionne qu il fait des photos ou des vidéos régulièrement,Positionner iPhone 16 Pro sur sa caméra professionnelle dans un smartphone,iPhone 16 Pro,Le système à 3 caméras de l iPhone 16 Pro avec le mode Photographie Computationnelle c est ce que les photographes professionnels utilisent en voyage. Faites un essai maintenant,Conversion photographe amateur vers iPhone Pro 52 pourcent après démonstration photo,9,20,-1,ALL,terrain_national
profil_eco_conscient,Client mentionne l environnement ou la durabilité pendant la conversation,Valoriser le programme reprise et les smartphones reconditionnés certifiés,iPhone SE reconditionné ou programme reprise,Ooredoo a un programme de reprise de votre ancien téléphone et une gamme reconditionnée certifiée. Un produit comme neuf 40 pourcent moins cher et on contribue ensemble à réduire les déchets,Taux reprise plus 35 pourcent conversion reconditionnée 28 pourcent satisfaction 89 pourcent,9,20,-1,ALL,terrain_national
profil_gamer_mobile,Client gamer mobile joue à PUBG COD Mobile ou Fortnite sur téléphone,Démonstration live jeu sur Samsung S25 Ultra écran 120Hz,Samsung Galaxy S25 Ultra,Pour le gaming mobile le Samsung S25 Ultra avec son écran 120Hz son processeur Snapdragon 8 Elite et sa batterie 5000mAh c est incontestablement le meilleur. Testez Call of Duty maintenant,Conversion gaming vers S25 Ultra 48 pourcent après test jeu live panier 1599 DT,9,20,-1,ALL,terrain_national
profil_diaspora_visite,Tunisien de la diaspora en visite vacances cherche SIM et connexion famille,Offre diaspora appels internationaux illimités et data généreuse,Forfait Diaspora ou Forfait 5G Max,Bienvenue en Tunisie. Notre Forfait 5G Max vous donne les appels illimités vers l Europe et 100Go pour rester connecté tout votre séjour. Et vous pouvez continuer à l utiliser quand vous rentrez,Fidélisation diaspora 92 pourcent ambassadeur Ooredoo à l étranger recommandation famille,9,20,-1,ALL,terrain_national
profil_smartwatch_fitness,Client fait du sport régulièrement court à vélo ou nage cherche un accessoire,Proposer Apple Watch S10 comme coach sportif connecté,Apple Watch S10,Pour vos activités sportives l Apple Watch S10 surveille votre rythme cardiaque vos calories votre VO2max. Et elle est étanche jusqu à 50 mètres pour la natation. C est votre coach personnel au poignet,Conversion sportif vers Apple Watch 55 pourcent après démonstration données santé en direct,9,20,-1,ALL,terrain_national
periode_ramadan_iftar,Période Ramadan famille réunie appels vers famille à l étranger,Script communautaire appels internationaux et connexion famille pendant Ramadan,Forfait Famille 5G ou option internationale,Ce Ramadan Ooredoo vous offre le Forfait Famille 5G avec les appels illimités vers toute la Tunisie et vers l Europe. Pour rester connecté avec ceux qui vous manquent pendant tout le mois,Ventes forfaits famille plus 55 pourcent pendant Ramadan pic après iftar 21h,18,23,-1,ALL,terrain_saisonnier
periode_rentree_scolaire,Rentrée scolaire septembre parents cherchent smartphone pour lycéen ou étudiant,Offre rentrée avec Samsung A55 5G et forfait étudiant contrôle parental,Samsung Galaxy A55 5G ou iPhone SE,Pour la rentrée de votre enfant le Samsung A55 5G est le choix idéal. Fiable durable et avec notre Forfait Flexi 29 DT par mois il a tout ce qu il lui faut pour ses études et WhatsApp famille,Panier rentrée 950 DT taux recommandation parent 87 pourcent,9,20,-1,ALL,terrain_saisonnier
periode_black_friday,Période Black Friday ou promotion exceptionnelle offre à durée très limitée,Créer urgence autour de l offre promotionnelle avec durée limitée et stock réduit,iPhone 16 Pro ou Samsung S25 Ultra en promo,C est notre meilleure offre de l année et le stock est limité. Les 20 premières unités sont parties ce matin. Voulez-vous que je vous en mette un de côté 30 minutes le temps de confirmer,Conversion event promo plus 65 pourcent vs journée normale panier plus 120 DT,9,20,-1,ALL,terrain_promo
periode_eid,Période Eid cadeaux famille échanges de présents budget spécial occasion,Positionner smartphone ou accessoires comme cadeau premium pour un proche,iPhone 16 Pro ou AirPods Pro 3,Pour Eid un cadeau qui va vraiment faire plaisir l iPhone 16 Pro ou les AirPods Pro 3 c est un cadeau qu on utilise chaque jour pendant 3 ou 4 ans. Je vous fais un bel emballage cadeau,Ventes Eid plus 45 pourcent période cadeaux acceptation packaging cadeau 78 pourcent,9,20,-1,ALL,terrain_saisonnier
periode_soldes_ete,Soldes d été clients en mode opportuniste cherchent bonne affaire,Mettre en avant les offres existantes avec argumentaire économie immédiate,Produits en promotion ou bundle exclusif boutique,Pendant les soldes nos bundles iPhone 16 Pro plus Assurance plus Coque sont au meilleur prix de l année. Et avec l avance postpayé vous repartez aujourd hui sans versement supplémentaire,Conversion soldes plus 38 pourcent sur clients opportunistes avec argument économie immédiate,9,20,-1,ALL,terrain_saisonnier
sav_ecran_casse,Client arrive avec écran cassé pour réparation ou remplacement,Transformer le SAV en opportunité de vente avec proposition upgrade,iPhone 16 Pro ou Samsung A55 5G,Votre écran est bien cassé la réparation coûte 280 DT. Avec cet argent plus une petite différence vous pouvez repartir avec l iPhone 16 Pro via l avance postpayé à 54 DT par mois. Qu est-ce que vous en pensez,Conversion SAV en vente 22 pourcent sur clients avec réparation coûteuse vs nouveau terminal,9,18,-1,ALL,terrain_national
