event_id,event_name,event_type,sous_type,start_date,end_date,scope,uplift_terminal,uplift_forfait,uplift_postpaid,uplift_sim,uplift_recharge,uplift_box_fibre,uplift_accessoire,intensity,strategy_note,affected_categories
EVT_0017,Eid Al-Fitr 2025,RELIGIEUX,EID_FITR,2025-03-30,2025-04-01,NATIONAL,85,45,45.0,35,160,0.0,65,EXTREME,Plus gros pic ventes annuel - preparer stocks 6 semaines avant,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0018,Fete Independance 2025,NATIONAL,FETE_NATIONALE,2025-03-20,2025-03-20,NATIONAL,10,8,8.0,5,15,0.0,8,LOW,Journee feriee courte,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0019,Eid Al-Adha 2025,RELIGIEUX,EID_ADHA,2025-06-06,2025-06-08,NATIONAL,50,28,28.0,25,85,0.0,35,HIGH,Cadeaux familiaux - hausse zones Centre et Sud,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0020,Lancement 5G Ooredoo,CONCURRENTIEL,LANCEMENT_5G,2025-07-01,2025-07-31,NATIONAL,35,55,55.0,20,10,0.0,15,HIGH,Lancement commercial 5G Ooredoo TN - forte demande forfaits 5G et routeurs,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0021,Rentree Scolaire 2025,SCOLAIRE,RENTREE_SCOLAIRE,2025-09-02,2025-09-22,NATIONAL,60,40,40.0,45,22,0.0,28,HIGH,"Tablettes, smartphones etudiant, forfaits data illimite","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0022,Mawlid 2025,RELIGIEUX,MAWLID,2025-09-04,2025-09-06,NATIONAL,20,15,15.0,10,35,0.0,15,MEDIUM,Fete nationale religieuse,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0023,Soldes Hiver 2025,COMMERCIAL,SOLDES,2025-11-28,2026-01-06,NATIONAL,70,22,22.0,18,18,0.0,40,HIGH,Black Friday + soldes. Orange et TT agressifs sur prix terminaux,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0024,Noel 2025,COMMERCIAL,FETES_FIN_ANNEE,2025-12-24,2025-12-31,NATIONAL,55,22,22.0,12,32,0.0,42,HIGH,Pic terminaux premium - iPhone et Samsung Galaxy en tete,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0025,Yennayer 2026,NATIONAL,YENNAYER,2026-01-12,2026-01-14,NATIONAL,22,12,12.0,12,28,0.0,17,MEDIUM,Fete berbere - impact regional significatif,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0026,Ramadan 2026,RELIGIEUX,RAMADAN,2026-02-17,2026-03-18,NATIONAL,-12,32,32.0,18,70,0.0,10,HIGH,Ramadan hiver 2026 - soirees longues = plus activite digitale,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0027,Eid Al-Fitr 2026,RELIGIEUX,EID_FITR,2026-03-20,2026-03-22,NATIONAL,90,48,48.0,38,170,0.0,70,EXTREME,Eid 2026 - pic historique attendu avec 5G deployee,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0028,Fete Independance 2026,NATIONAL,FETE_NATIONALE,2026-03-20,2026-03-20,NATIONAL,10,8,8.0,5,15,0.0,8,LOW,Meme jour qu Eid 2026 cette annee - impact cumule fort,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0029,Promo Orange Summer 2025,CONCURRENTIEL,PROMO_CONCURRENT,2025-07-15,2025-08-15,NATIONAL,-8,-12,-12.0,-5,0,0.0,-5,MEDIUM,Orange: smartphones -20% - surveiller pertes parts de marche,"Accessoire,Forfait Mobile,Postpaid,Terminal"
EVT_0030,Promo TT Rentree 2025,CONCURRENTIEL,PROMO_CONCURRENT,2025-08-25,2025-09-15,NATIONAL,-5,-8,-8.0,-3,0,0.0,-3,LOW,TT: offre rentree -15% sur forfaits etudiants,"Accessoire,Forfait Mobile,Postpaid,Terminal"
EVT_0031,Eid Al-Adha 2026,RELIGIEUX,EID_ADHA,2026-05-27,2026-05-29,NATIONAL,52,30,30.0,27,88,0.0,38,HIGH,Eid Al-Adha 2026 prevu fin mai,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0032,Soldes Ete 2025,COMMERCIAL,SOLDES_ETE,2025-07-01,2025-07-31,NATIONAL,30,15,15.0,10,10,0.0,20,MEDIUM,Soldes ete: terminaux mid-range en promotion,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0033,Soldes Ete 2026,COMMERCIAL,SOLDES_ETE,2026-07-01,2026-07-31,NATIONAL,32,16,16.0,11,11,0.0,22,MEDIUM,Soldes 2026 avec 5G deployee - meilleure progression forfaits,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
