Title,Status
"[Backlog DB] transactions_rt.des_produit contient parfois le SKU brut",Todo
"[Backlog DB] Tables temps réel jamais testées multi-store (I63 uniquement)",Todo
"[Backlog DB] Supprimer le schéma agent mort (8 tables, 0 ligne)",Todo
"[Backlog DB] Aucune table catalogue fournisseur-produit",Todo
"[Backlog DB] customer.churn_signals vide, non implémenté",Todo
"[Backlog DB] Tables coaching.* quasi vides sauf coaching_events",Todo
"[Backlog Agents] Agent Stratège ne lit jamais les signaux stock",Todo
"[Backlog Agents] Agent Coach retombe toujours sur le chemin lent DB",Todo
"[Backlog Agents] Variante batch get_seasonal_demand_profile jamais câblée au pipeline",Todo
"[Backlog Agents] DecisionAgent régénère des recommandations déjà actives (cause racine)",Todo
"[Backlog Agents] Aucun agent ne recalcule le gap par vente individuelle",Todo
"[Backlog Agents] agent_run_id jamais threadé sur les alertes",Todo
"[Backlog Dette] Consolider les 17-21 accès DB dupliqués",Todo
"[Backlog Dette] Unifier les 5 conventions de variables d'environnement DB",Todo
"[Backlog Dette] Fusionner les deux agent_logger.py divergents",Todo
"[Backlog Dette] Retirer postgres_repo.py (cible asc_db fantôme)",Todo
"[Backlog Dette] Retirer monitoring-module/ (mock jamais branché)",Todo
"[Backlog Dette] Retirer les deux configs Alembic mortes",Todo
"[Backlog Dette] Réconcilier json_service.py vs postgres_provider.py",Todo
"[Backlog Dette] Supprimer les modèles Pydantic jamais importés",Todo
"[Backlog Dette] Décider d'une source de vérité unique pour les migrations",Todo
"[Backlog Sécurité] RBAC absent sur les endpoints inventory/supply",Todo
"[Backlog Sécurité] Rate limiting absent sur les endpoints inventory/supply",Todo
"[Backlog Sécurité] Vérifier rotation des clés API commitées historiquement dans .env",Todo
